City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,port saint john's,-31.6229,29.5448,67.49600000000005,54,95,2.24,ZA,2023-04-22 13:06:58
64,lower hutt,-41.2167,174.9167,58.31600000000001,96,100,2.57,NZ,2023-04-22 13:05:24
65,aral,40.5156,81.2636,52.25,62,63,5.92,CN,2023-04-22 13:06:58
66,akranes,64.3218,-22.0749,41.55800000000001,74,59,1.86,IS,2023-04-22 13:06:58
67,hermanus,-34.4187,19.2345,59.93600000000007,67,100,6.3,ZA,2023-04-22 13:06:59
68,la ronge,55.1001,-105.2842,44.852000000000075,23,0,2.57,CA,2023-04-22 12:57:29
69,wailua homesteads,22.0669,-159.378,74.75,90,75,2.68,US,2023-04-22 13:06:31
70,voghera,44.9947,9.0086,65.858,77,98,1.01,IT,2023-04-22 13:06:59
71,saint george's,12.0564,-61.7485,81.77000000000007,72,30,6.08,GD,2023-04-22 13:07:00
72,roma,43.2128,-75.4557,70.82600000000009,55,0,8.23,US,2023-04-22 13:05:58
73,luderitz,-26.6481,15.1594,59.018000000000086,66,57,3.91,NA,2023-04-22 13:07:00
74,thompson,55.7435,-97.8558,28.922000000000036,84,100,2.72,CA,2023-04-22 13:06:47
75,cedeira,43.6797,-8.0209,60.38600000000007,82,53,8.43,ES,2023-04-22 13:07:00
76,nuuk,64.1835,-51.7216,36.21200000000006,87,75,4.63,GL,2023-04-22 13:07:01
77,naze,28.3667,129.4833,65.91200000000006,74,80,7.64,JP,2023-04-22 13:07:01
78,okotoks,50.7289,-113.9828,44.79800000000002,60,42,1.34,CA,2023-04-22 13:06:03
79,tarauaca,-8.1614,-70.7656,90.608,51,71,0.19,BR,2023-04-22 13:05:54
80,port lincoln,-34.7333,135.8667,61.41200000000006,86,0,4.21,AU,2023-04-22 13:07:02
81,chyorny yar,48.0624,46.1091,52.44800000000002,79,93,4.17,RU,2023-04-22 13:07:02
82,levuka,50.1834,-105.4011,31.208000000000006,87,100,3.62,CA,2023-04-22 13:07:03
